assay,cycle,treatP,strain,cfu,Rep
col.l4,MYb11,10_90,MYb11,,1
col.l4,MYb11,10_90,MYb71,,1
col.l4,MYb11,10_90,MYb11,240,2
col.l4,MYb11,10_90,MYb71,2417.142857,2
col.l4,MYb11,10_90,MYb11,157.1428571,3
col.l4,MYb11,10_90,MYb71,2035.714286,3
col.l4,MYb11,10_90,MYb11,62.06896552,4
col.l4,MYb11,10_90,MYb71,917.2413793,4
col.l4,MYb11,10_90,MYb11,-28.57142857,5
col.l4,MYb11,10_90,MYb71,1914.285714,5
col.l4,MYb11,10_90,MYb11,78.57142857,6
col.l4,MYb11,10_90,MYb71,864.2857143,6
col.l4,MYb11,50_50,MYb11,,1
col.l4,MYb11,50_50,MYb71,,1
col.l4,MYb11,50_50,MYb11,2572.727273,2
col.l4,MYb11,50_50,MYb71,2472.727273,2
col.l4,MYb11,50_50,MYb11,18.18181818,3
col.l4,MYb11,50_50,MYb71,1277.272727,3
col.l4,MYb11,50_50,MYb11,240.8163265,4
col.l4,MYb11,50_50,MYb71,3326.530612,4
col.l4,MYb11,50_50,MYb11,436.9230769,5
col.l4,MYb11,50_50,MYb71,4772.307692,5
col.l4,MYb11,50_50,MYb11,468.0851064,6
col.l4,MYb11,50_50,MYb71,5957.446809,6
col.l4,MYb11,90_10,MYb11,,1
col.l4,MYb11,90_10,MYb71,,1
col.l4,MYb11,90_10,MYb11,447.6190476,2
col.l4,MYb11,90_10,MYb71,971.4285714,2
col.l4,MYb11,90_10,MYb11,366.6666667,3
col.l4,MYb11,90_10,MYb71,626.6666667,3
col.l4,MYb11,90_10,MYb11,512.5,4
col.l4,MYb11,90_10,MYb71,1162.5,4
col.l4,MYb11,90_10,MYb11,395.3488372,5
col.l4,MYb11,90_10,MYb71,2293.023256,5
col.l4,MYb11,90_10,MYb11,276.9230769,6
col.l4,MYb11,90_10,MYb71,4523.076923,6
col.l4,MYb11,99_1,MYb11,,1
col.l4,MYb11,99_1,MYb71,,1
col.l4,MYb11,99_1,MYb11,#VALUE!,2
col.l4,MYb11,99_1,MYb71,#VALUE!,2
col.l4,MYb11,99_1,MYb11,1172.093023,3
col.l4,MYb11,99_1,MYb71,1600,3
col.l4,MYb11,99_1,MYb11,450,4
col.l4,MYb11,99_1,MYb71,800,4
col.l4,MYb11,99_1,MYb11,685.7142857,5
col.l4,MYb11,99_1,MYb71,474.2857143,5
col.l4,MYb11,99_1,MYb11,3330,6
col.l4,MYb11,99_1,MYb71,550,6
col.l4,wspE,10_90,wspE,,1
col.l4,wspE,10_90,MYb71,,1
col.l4,wspE,10_90,wspE,15320,2
col.l4,wspE,10_90,MYb71,11880,2
col.l4,wspE,10_90,wspE,2125,3
col.l4,wspE,10_90,MYb71,1750,3
col.l4,wspE,10_90,wspE,375,4
col.l4,wspE,10_90,MYb71,3420,4
col.l4,wspE,10_90,wspE,666.6666667,5
col.l4,wspE,10_90,MYb71,666.6666667,5
col.l4,wspE,10_90,wspE,4000,6
col.l4,wspE,10_90,MYb71,4000,6
col.l4,wspE,50_50,wspE,,1
col.l4,wspE,50_50,MYb71,,1
col.l4,wspE,50_50,wspE,163.6363636,2
col.l4,wspE,50_50,MYb71,1509.090909,2
col.l4,wspE,50_50,wspE,13000,3
col.l4,wspE,50_50,MYb71,1500,3
col.l4,wspE,50_50,wspE,221333.3333,4
col.l4,wspE,50_50,MYb71,21333.33333,4
col.l4,wspE,50_50,wspE,580000,5
col.l4,wspE,50_50,MYb71,52000,5
col.l4,wspE,50_50,wspE,28352.94118,6
col.l4,wspE,50_50,MYb71,8039.215686,6
col.l4,wspE,90_10,wspE,,1
col.l4,wspE,90_10,MYb71,,1
col.l4,wspE,90_10,wspE,9902.439024,2
col.l4,wspE,90_10,MYb71,975.6097561,2
col.l4,wspE,90_10,wspE,2964.285714,3
col.l4,wspE,90_10,MYb71,2500,3
col.l4,wspE,90_10,wspE,12320,4
col.l4,wspE,90_10,MYb71,3088,4
col.l4,wspE,90_10,wspE,135833.3333,5
col.l4,wspE,90_10,MYb71,11500,5
col.l4,wspE,90_10,wspE,666.6666667,6
col.l4,wspE,90_10,MYb71,842.1052632,6
col.l4,wspE,99_1,wspE,,1
col.l4,wspE,99_1,MYb71,,1
col.l4,wspE,99_1,wspE,1973.333333,2
col.l4,wspE,99_1,MYb71,4506.666667,2
col.l4,wspE,99_1,wspE,894.7368421,3
col.l4,wspE,99_1,MYb71,342.1052632,3
col.l4,wspE,99_1,wspE,3679.245283,4
col.l4,wspE,99_1,MYb71,1622.641509,4
col.l4,wspE,99_1,wspE,16526.31579,5
col.l4,wspE,99_1,MYb71,4105.263158,5
col.l4,wspE,99_1,wspE,5703.703704,6
col.l4,wspE,99_1,MYb71,2740.740741,6
STP,MYb11,10_90,MYb11,13.33333333,1
STP,MYb11,10_90,MYb71,186.6666667,1
STP,MYb11,10_90,MYb11,922.6666667,2
STP,MYb11,10_90,MYb71,66.66666667,2
STP,MYb11,10_90,MYb11,17.33333333,3
STP,MYb11,10_90,MYb71,59.33333333,3
STP,MYb11,10_90,MYb11,213.3333333,4
STP,MYb11,10_90,MYb71,113.3333333,4
STP,MYb11,10_90,MYb11,0.666666667,5
STP,MYb11,10_90,MYb71,52.66666667,5
STP,MYb11,10_90,MYb11,389.3333333,6
STP,MYb11,10_90,MYb71,0,6
STP,MYb11,50_50,MYb11,209.3333333,1
STP,MYb11,50_50,MYb71,179.3333333,1
STP,MYb11,50_50,MYb11,261.3333333,2
STP,MYb11,50_50,MYb71,198.6666667,2
STP,MYb11,50_50,MYb11,597.3333333,3
STP,MYb11,50_50,MYb71,133.3333333,3
STP,MYb11,50_50,MYb11,18,4
STP,MYb11,50_50,MYb71,27.33333333,4
STP,MYb11,50_50,MYb11,6.666666667,5
STP,MYb11,50_50,MYb71,50,5
STP,MYb11,50_50,MYb11,105.3333333,6
STP,MYb11,50_50,MYb71,6.666666667,6
STP,MYb11,90_10,MYb11,1065.333333,1
STP,MYb11,90_10,MYb71,266.6666667,1
STP,MYb11,90_10,MYb11,598.6666667,2
STP,MYb11,90_10,MYb71,66.66666667,2
STP,MYb11,90_10,MYb11,284.6666667,3
STP,MYb11,90_10,MYb71,106.6666667,3
STP,MYb11,90_10,MYb11,118,4
STP,MYb11,90_10,MYb71,0,4
STP,MYb11,90_10,MYb11,196,5
STP,MYb11,90_10,MYb71,6.666666667,5
STP,MYb11,90_10,MYb11,595.3333333,6
STP,MYb11,90_10,MYb71,0,6
STP,MYb11,99_1,MYb11,398.6666667,1
STP,MYb11,99_1,MYb71,0,1
STP,MYb11,99_1,MYb11,2460,2
STP,MYb11,99_1,MYb71,0,2
STP,MYb11,99_1,MYb11,126.6666667,3
STP,MYb11,99_1,MYb71,40,3
STP,MYb11,99_1,MYb11,25.33333333,4
STP,MYb11,99_1,MYb71,2,4
STP,MYb11,99_1,MYb11,20,5
STP,MYb11,99_1,MYb71,4,5
STP,MYb11,99_1,MYb11,61.33333333,6
STP,MYb11,99_1,MYb71,0,6
STP,wspE,10_90,wspE,504,1
STP,wspE,10_90,MYb71,86.66666667,1
STP,wspE,10_90,wspE,3328.666667,2
STP,wspE,10_90,MYb71,1333.333333,2
STP,wspE,10_90,wspE,661.3333333,3
STP,wspE,10_90,MYb71,66.66666667,3
STP,wspE,10_90,wspE,3590,4
STP,wspE,10_90,MYb71,0,4
STP,wspE,10_90,wspE,3304.666667,5
STP,wspE,10_90,MYb71,200,5
STP,wspE,10_90,wspE,9240,6
STP,wspE,10_90,MYb71,0,6
STP,wspE,50_50,wspE,3928.666667,1
STP,wspE,50_50,MYb71,200,1
STP,wspE,50_50,wspE,8656,2
STP,wspE,50_50,MYb71,6000,2
STP,wspE,50_50,wspE,2553.333333,3
STP,wspE,50_50,MYb71,0,3
STP,wspE,50_50,wspE,592,4
STP,wspE,50_50,MYb71,0,4
STP,wspE,50_50,wspE,3904.666667,5
STP,wspE,50_50,MYb71,0,5
STP,wspE,50_50,wspE,2020,6
STP,wspE,50_50,MYb71,0,6
STP,wspE,90_10,wspE,6659.333333,1
STP,wspE,90_10,MYb71,0,1
STP,wspE,90_10,wspE,994,2
STP,wspE,90_10,MYb71,1000,2
STP,wspE,90_10,wspE,7960.666667,3
STP,wspE,90_10,MYb71,0,3
STP,wspE,90_10,wspE,1774,4
STP,wspE,90_10,MYb71,0,4
STP,wspE,90_10,wspE,658,5
STP,wspE,90_10,MYb71,0,5
STP,wspE,90_10,wspE,5286.666667,6
STP,wspE,90_10,MYb71,0,6
STP,wspE,99_1,wspE,4146.666667,1
STP,wspE,99_1,MYb71,0,1
STP,wspE,99_1,wspE,7994.666667,2
STP,wspE,99_1,MYb71,0,2
STP,wspE,99_1,wspE,3252,3
STP,wspE,99_1,MYb71,133.3333333,3
STP,wspE,99_1,wspE,44,4
STP,wspE,99_1,MYb71,2.666666667,4
STP,wspE,99_1,wspE,18601.33333,5
STP,wspE,99_1,MYb71,0,5
STP,wspE,99_1,wspE,100,6
STP,wspE,99_1,MYb71,0,6
