"assay","treatE","cycle","lawn","prop","propReleas"
"col.2h","anc",0,"b",0.86538839683669,NA
"col.2h","bi",4,"b",0.987002828842933,NA
"col.2h","bi",10,"b",0.922672823916026,NA
"col.2h","mono",4,"b",0.889344344618834,NA
"col.2h","mono",10,"b",0.782618928542149,NA
"col.l4","anc",0,"b",0.22758705390767,NA
"col.l4","bi",4,"b",0.549228181450763,NA
"col.l4","bi",10,"b",0.752425217222252,NA
"col.l4","mono",4,"b",0.444753489731517,NA
"col.l4","mono",10,"b",0.410404970779877,NA
"releas","anc",0,"b",0.228596690429582,0
"releas","bi",4,"b",0.654165917275514,0.979681009577378
"releas","bi",10,"b",0.63830586920207,0.968108176828358
"releas","mono",4,"b",0.485602138349556,0.739299610894941
"releas","mono",10,"b",0.244467905451366,0.865078490614181
"col.pe","anc",0,"b",0.5875,NA
"col.pe","anc",0,"e",0.942464845763086,NA
"col.pe","anc",0,"h",0.997519753872843,NA
"col.pe","bi",4,"b",0.778370207530982,NA
"col.pe","bi",4,"e",0.995457569930894,NA
"col.pe","bi",4,"h",0.850746268656717,NA
"col.pe","bi",10,"b",0.769892473118279,NA
"col.pe","bi",10,"e",0.977337012118749,NA
"col.pe","bi",10,"h",0.968240394932093,NA
"col.pe","mono",4,"b",0.701394585726005,NA
"col.pe","mono",4,"e",0.975665924685038,NA
"col.pe","mono",4,"h",0.870917573872473,NA
"col.pe","mono",10,"b",0.765684366601798,NA
"col.pe","mono",10,"e",0.994006724163134,NA
"col.pe","mono",10,"h",0.998421817237696,NA
